,city,pop,murder,robbery,property_crime,murder_raw,robbery_raw,pop_sq
142,Highland Falls Village,3847.0,0,0,39.0,0.0,0.0,14799409.0
143,Homer Village,3270.0,0,0,33.0,0.0,0.0,10692900.0
144,Hoosick Falls Village,3466.0,0,1,38.0,0.0,1.0,12013156.0
145,Hornell,8481.0,0,0,112.0,0.0,0.0,71927361.0
146,Horseheads Village,6701.0,0,0,110.0,0.0,0.0,44903401.0
147,Hudson,6676.0,0,1,198.0,0.0,8.0,44568976.0
148,Hudson Falls Village,7187.0,0,1,112.0,0.0,2.0,51652969.0
149,Huntington Bay Village,1428.0,0,0,12.0,0.0,0.0,2039184.0
150,Hyde Park Town,21397.0,0,1,180.0,0.0,4.0,457831609.0
151,Ilion Village,8002.0,0,1,128.0,0.0,2.0,64032004.0
152,Irondequoit Town,51506.0,1,1,1353.0,1.0,51.0,2652868036.0
153,Irvington Village,6530.0,0,0,23.0,0.0,0.0,42640900.0
154,Jamestown,30658.0,0,1,1140.0,0.0,39.0,939912964.0
155,Johnson City Village,14866.0,1,1,949.0,1.0,20.0,220997956.0
156,Johnstown,8531.0,0,1,316.0,0.0,4.0,72777961.0
157,Jordan Village,1350.0,0,0,2.0,0.0,0.0,1822500.0
158,Kenmore Village,15256.0,1,1,220.0,1.0,10.0,232745536.0
159,Kent Town,13381.0,0,0,98.0,0.0,0.0,179051161.0
160,Kings Point Village,5042.0,0,0,16.0,0.0,0.0,25421764.0
161,Kingston,23665.0,1,1,687.0,1.0,25.0,560032225.0
162,Kirkland Town,8296.0,0,0,103.0,0.0,0.0,68823616.0
163,Lackawanna,17965.0,1,1,533.0,1.0,11.0,322741225.0
164,Lake Placid Village,2491.0,0,0,51.0,0.0,0.0,6205081.0
165,Lake Success Village,3009.0,0,0,32.0,0.0,0.0,9054081.0
166,Lakewood-Busti,7280.0,0,1,341.0,0.0,1.0,52998400.0
167,Lancaster Town,36369.0,0,1,547.0,0.0,4.0,1322704161.0
168,Larchmont Village,5930.0,0,0,87.0,0.0,0.0,35164900.0
169,Le Roy Village,4354.0,0,1,84.0,0.0,1.0,18957316.0
170,Lewiston Town and Village,16175.0,0,1,134.0,0.0,1.0,261630625.0
171,Liberty Village,4285.0,0,1,206.0,0.0,2.0,18361225.0
172,Little Falls,4912.0,0,1,130.0,0.0,1.0,24127744.0
173,Liverpool Village,2311.0,0,1,46.0,0.0,1.0,5340721.0
174,Lloyd Harbor Village,3683.0,0,0,18.0,0.0,0.0,13564489.0
175,Lloyd Town,10751.0,0,0,118.0,0.0,0.0,115584001.0
176,Lockport,20904.0,0,1,649.0,0.0,24.0,436977216.0
177,Long Beach,33534.0,0,1,337.0,0.0,13.0,1124529156.0
178,Lowville Village,3457.0,0,0,58.0,0.0,0.0,11950849.0
179,Lynbrook Village,19528.0,0,1,164.0,0.0,3.0,381342784.0
180,Lyons Village,3543.0,0,1,179.0,0.0,3.0,12552849.0
181,Macedon Town and Village,9132.0,0,1,61.0,0.0,1.0,83393424.0
182,Malone Village,5881.0,0,1,192.0,0.0,2.0,34586161.0
183,Malverne Village,8542.0,0,1,21.0,0.0,3.0,72965764.0
184,Mamaroneck Town,12146.0,0,1,158.0,0.0,1.0,147525316.0
185,Mamaroneck Village,19164.0,0,1,181.0,0.0,2.0,367258896.0
186,Manchester Village,1688.0,0,0,0.0,0.0,0.0,2849344.0
187,Manlius Town,24461.0,0,1,402.0,0.0,4.0,598340521.0
188,Marcellus Village,1792.0,0,0,13.0,0.0,0.0,3211264.0
189,Marlborough Town,8769.0,0,1,135.0,0.0,1.0,76895361.0
190,Massena Village,10808.0,0,1,410.0,0.0,2.0,116812864.0
191,Mechanicville,5213.0,0,1,114.0,0.0,3.0,27175369.0
192,Medina Village,5953.0,0,1,139.0,0.0,3.0,35438209.0
193,Menands Village,3991.0,0,1,101.0,0.0,1.0,15928081.0
